,card,reports,age,income,share,expenditure,owner,selfemp,dependents,months,majorcards,active,sex,race
0,1,0,37.66667,4.52,0.03326991,124.9833,yes,no,3,54,1,12,Male,White
1,1,0,33.25,2.42,0.005216942,9.854167,no,no,3,34,1,13,Male,White
2,1,0,33.66667,4.5,0.0041555559999999,15.0,yes,no,4,58,1,5,Male,White
3,1,0,30.5,2.54,0.06521378,137.8692,no,no,0,25,1,7,Male,White
4,1,0,32.16667,9.7867,0.06705059,546.5033,yes,no,2,64,1,5,Male,Other
5,1,0,23.25,2.5,0.0444384,91.99667,no,no,0,54,1,1,Male,White
6,1,0,27.91667,3.96,0.01257576,40.83333,no,no,2,7,1,5,Female,Other
7,1,0,29.16667,2.37,0.07643376,150.79,yes,no,0,77,1,3,Male,White
8,1,0,37.0,3.8,0.2456279,777.8217,yes,no,0,97,1,6,Male,Other
9,1,0,28.41667,3.2,0.01978,52.58,no,no,0,65,1,18,Male,Other
10,1,0,30.5,3.95,0.07802456,256.6642,yes,no,1,24,1,20,Male,White
11,0,0,42.0,1.98,0.0006060605999999,0.0,yes,no,2,36,1,0,Male,Black
12,0,0,30.0,1.73,0.0006936416,0.0,yes,no,1,42,0,12,Female,Other
13,1,0,28.83333,2.45,0.03879551,78.87416999999999,yes,no,0,26,1,3,Male,White
14,1,0,35.33333,1.908,0.02690671,42.615,yes,no,2,120,0,5,Female,Black
15,1,0,41.16667,3.2,0.1258194,335.435,yes,no,1,168,1,22,Female,White
16,1,0,40.08333,4.0,0.07481575,248.7192,yes,no,2,96,1,0,Male,Other
17,0,7,29.5,3.0,0.0004,0.0,yes,no,2,60,1,8,Female,Black
18,1,0,39.5,9.9999,0.06579486,548.035,yes,yes,0,28,1,0,Male,White
19,0,3,45.75,3.4,0.0003529412,0.0,no,no,0,28,1,10,Female,White
20,1,0,35.25,2.35,0.02238596,43.33917,yes,no,2,115,1,1,Male,Black
21,0,1,25.16667,1.875,0.00064,0.0,no,no,2,7,0,2,Male,Other
22,1,0,34.25,2.0,0.1311119999999999,218.52,yes,no,0,12,1,0,Male,White
23,1,1,35.75,4.0,0.05119225,170.6408,no,no,2,18,1,22,Female,Other
24,1,0,42.66667,5.14,0.008949417,37.58333,yes,no,2,13,1,17,Male,White
25,1,0,30.25,4.506,0.1337421,502.2017,no,no,2,38,1,7,Male,Other
26,0,0,21.66667,3.84,0.0003125,0.0,no,yes,1,12,0,1,Male,Other
27,1,0,22.25,1.5,0.058608,73.17667,no,no,0,64,1,6,Male,Other
28,0,0,34.25,2.5,0.0004799999999999,0.0,yes,no,1,12,1,0,Female,Black
29,1,0,40.0,5.5,0.3344595999999999,1532.773,yes,no,4,74,1,19,Female,Other
30,1,0,21.83333,2.0272,0.02532014,42.69083,no,no,0,9,0,5,Female,Other
31,1,1,29.41667,3.2,0.1567194,417.835,no,no,0,14,1,6,Female,Black
32,0,1,24.91667,3.15,0.0003809523999999,0.0,yes,no,1,40,1,5,Female,Black
33,1,0,21.0,2.4663,0.2689327999999999,552.7242,yes,no,1,12,1,10,Female,Black
34,1,0,23.83333,3.0,0.08901566,222.5392,no,no,0,12,1,5,Female,White
35,1,0,42.83333,3.5412,0.1834562,541.2958,yes,no,6,108,1,15,Male,White
36,0,0,42.58333,2.2845,0.000525279,0.0,no,no,2,46,1,0,Male,White
37,1,0,36.58333,5.7,0.1197418999999999,568.7742,yes,no,1,36,1,16,Male,Black
38,1,0,26.75,3.5,0.1181043,344.4708,no,no,0,2,1,14,Male,Black
39,1,0,27.75,4.6,0.1057438999999999,405.3517,yes,no,4,28,1,13,Male,Other
40,1,0,26.25,3.0,0.124375,310.9375,yes,no,0,7,1,10,Female,Other
41,1,0,23.33333,2.585,0.02505764,53.645,no,no,0,8,1,1,Male,Black
42,1,0,29.91667,1.51,0.05125828,63.91667,no,no,1,7,0,1,Male,Black
43,1,0,30.0,1.85,0.1075816,165.855,no,no,0,60,1,12,Female,Other
44,1,0,38.33333,2.6,0.004807692,9.583333,no,no,0,12,1,1,Male,White
45,0,0,28.16667,1.8,0.0006666667,0.0,no,yes,2,26,1,2,Female,Black
46,1,0,35.58333,2.0,0.192044,319.49,no,no,0,156,1,4,Female,Other
47,0,0,37.75,3.2628,0.0003677823,0.0,no,no,1,98,0,1,Female,White
48,1,0,26.08333,2.35,0.04285106,83.08334,no,no,1,30,0,2,Male,White
49,1,0,27.75,7.0,0.1105849,644.8283,yes,no,0,0,1,13,Male,Other
50,0,0,49.75,3.6,0.0003333333,0.0,no,no,2,12,0,0,Female,Black
51,1,0,24.25,2.0,0.0559685,93.1975,no,no,0,18,1,12,Female,White
52,1,0,20.66667,1.7,0.07420824,105.045,no,no,0,6,1,4,Male,White
53,1,0,23.75,2.8,0.014875,34.125,no,no,2,48,1,8,Female,White
54,1,0,25.75,2.4,0.02071958,41.18917,no,no,0,34,1,2,Female,Other
55,1,1,32.91667,3.0,0.068022,169.8883,no,no,0,216,0,5,Male,Black
56,1,0,34.33333,4.8,0.4745082999999999,1898.033,no,no,3,12,1,1,Male,Other
57,1,0,33.25,3.18,0.3058082,810.3917,no,no,4,18,0,3,Male,White
58,0,0,44.66667,1.8,0.0006666667,0.0,no,no,2,33,0,0,Female,Black
59,1,0,21.16667,1.5,0.02655333,32.775,no,no,0,20,1,4,Male,Other
60,1,2,25.08333,3.0,0.0384529999999999,95.79916,no,no,0,8,0,4,Male,White
61,1,0,27.16667,2.28,0.01492807,27.78,no,no,3,36,1,5,Male,Black
62,1,0,26.41667,2.8,0.0921725,215.0692,no,no,1,12,1,16,Male,White
63,1,0,22.0,2.7,0.03544926,79.51083,no,no,0,3,1,0,Male,White
64,0,3,27.33333,4.9,0.000244898,0.0,yes,no,2,16,1,15,Male,Other
65,0,0,26.16667,2.5,0.0004799999999999,0.0,no,yes,0,18,0,0,Female,Black
66,1,0,40.75,6.0,0.06123966,306.0317,no,yes,2,182,1,16,Female,White
67,1,0,42.08333,3.9,0.03221615,104.5358,no,no,0,78,1,2,Male,Other
68,0,0,21.66667,5.1,0.0002352941,0.0,no,no,0,25,1,0,Female,Other
69,1,0,24.66667,3.074,0.2508032,642.4742,no,no,0,4,1,0,Male,Other
70,1,0,30.75,2.4585,0.1503596,308.0492,yes,no,2,53,1,16,Male,White
71,1,0,27.41667,2.0,0.111812,186.3533,no,no,0,9,1,5,Male,White
72,1,0,33.0,3.248,0.02089871,56.14917,no,no,2,144,0,2,Male,White
73,1,0,37.33333,2.725,0.05719193,129.3733,no,no,2,13,1,14,Female,Other
74,1,0,26.58333,2.2,0.05078546,93.10667,no,no,0,144,1,10,Female,White
75,0,1,24.33333,4.1,0.0002926829,0.0,no,no,1,5,0,4,Female,White
76,1,0,24.25,3.75,0.09367893,292.6633,no,no,0,18,1,11,Male,Black
77,1,0,25.25,2.88,0.04106146,98.46416,no,no,0,7,1,0,Male,Other
78,1,0,0.5,3.05,0.1017243,258.5492,no,no,1,94,1,5,Male,White
79,1,0,32.83333,2.55,0.04792941,101.6833,no,no,2,6,1,18,Male,Black
80,0,0,32.75,4.0,0.0003,0.0,no,no,2,25,1,0,Male,White
81,1,1,54.58333,2.64,0.02984697,65.24667,yes,no,1,78,1,19,Male,Other
82,1,0,19.58333,1.65,0.07904787,108.6075,no,no,0,37,1,8,Male,White
83,1,0,29.33333,2.4,0.02494458,49.55583,no,no,0,30,1,4,Male,Other
84,0,3,40.16667,3.7099,0.0003234589,0.0,no,no,2,15,1,11,Female,Other
85,1,0,40.75,7.24,0.03904502,235.5717,yes,no,2,177,1,13,Male,Black
86,0,0,41.25,4.386,0.0002735978,0.0,yes,no,3,172,1,9,Male,White
87,0,0,34.5,3.3,0.0003636364,0.0,yes,no,2,33,0,18,Female,Black
88,0,0,23.66667,2.3040000000000003,0.0005208334,0.0,no,no,1,12,1,0,Male,Black
89,0,1,53.66667,4.18,0.0002870813,0.0,no,no,1,288,1,2,Male,Black
90,0,2,34.0,2.4875,0.0004824120999999,0.0,no,no,1,87,1,3,Male,Black
91,0,0,44.91667,2.8055,0.0004277313,0.0,yes,no,5,4,1,0,Male,Black
92,1,0,43.41667,2.4,0.03435875,68.38417,no,no,0,12,1,0,Male,White
93,0,4,35.16667,1.5,0.0008,0.0,no,no,1,7,1,9,Male,Black
94,0,2,35.83333,8.4,0.0001428570999999,0.0,no,no,2,69,1,12,Female,Other
95,1,0,21.66667,1.56,0.0007692308,0.0,no,no,0,12,1,2,Female,Other
96,1,1,32.66667,6.0,0.09483,474.15,yes,no,0,48,1,6,Female,Other
97,1,1,25.41667,3.6,0.07804389,234.0483,no,no,2,12,1,4,Male,White
98,1,0,26.25,5.0,0.1082892,451.205,yes,no,0,5,1,16,Female,White
99,1,0,46.0,5.5,0.05487727,251.5208,yes,no,2,161,1,7,Male,White
100,1,1,35.0,9.9999,0.1101058999999999,917.54,yes,no,0,72,1,29,Male,White
101,0,0,35.0,4.55,0.0002637363,0.0,yes,no,3,36,1,15,Female,Black
102,0,0,20.91667,2.9,0.0004137930999999,0.0,no,no,0,36,1,3,Female,Black
103,1,0,25.16667,1.8,0.09848222,147.7233,no,no,0,1,0,9,Male,White
104,1,0,31.25,4.2,0.04768381,166.7267,yes,no,0,53,1,0,Female,White
105,1,0,23.16667,3.92,0.2269911,741.5042,no,no,0,16,1,0,Female,White
106,1,0,23.0,3.625,0.03514566,106.1692,no,no,1,51,0,6,Female,White
107,1,0,24.83333,2.48,0.1313552,271.4675,no,no,0,18,1,0,Male,Other
108,1,0,40.91667,9.9999,0.07620686,635.0508,yes,no,3,120,1,17,Female,Other
109,1,0,43.66667,10.0393,0.02186308,182.825,yes,no,1,12,1,18,Female,White
110,1,0,23.08333,2.95,0.03642203,89.37083,yes,no,0,12,1,17,Male,White
111,1,0,41.91667,5.0,0.24272,1011.333,no,no,1,36,1,5,Male,Other
112,1,0,28.16667,2.4,0.1137675,227.3683,no,no,0,1,1,29,Male,White
113,1,0,45.58333,13.5,0.01031111,115.4167,yes,no,2,126,1,9,Female,Black
114,0,3,25.91667,4.0,0.0003,0.0,no,no,0,36,0,5,Female,Black
115,1,1,37.33333,3.9,0.0916836,297.9717,no,no,0,51,1,4,Male,White
116,1,1,37.66667,2.0,0.0608075,101.2625,yes,no,3,42,1,3,Male,Other
117,1,0,30.25,2.15,0.03192233,56.69416999999999,no,no,0,12,1,4,Male,White
118,1,0,21.25,3.0,0.030976,77.35667,no,no,2,18,0,2,Male,Other
119,1,0,40.08333,4.3,0.03419023,122.515,no,no,0,108,1,4,Male,Other
120,0,4,23.41667,9.9999,0.0001200012,0.0,no,no,2,27,1,5,Female,Black
121,1,0,21.83333,2.5,0.0067932,13.4025,no,no,0,32,1,3,Female,White
122,1,0,22.16667,3.0,0.05111367,127.5342,no,no,0,120,1,11,Male,White
123,1,0,40.83333,2.6,0.004230769,8.333333,yes,no,0,52,1,3,Male,Black
124,1,1,18.66667,1.66,0.0568759,78.42834,yes,no,0,51,1,2,Male,Black
125,1,0,34.33333,4.5,0.0032,11.16667,yes,yes,4,30,1,6,Female,Other
126,1,0,25.08333,5.0,0.0316508,131.8783,no,no,0,38,1,16,Male,White
127,1,0,20.08333,1.74,0.1919466,277.9892,no,no,0,8,1,11,Male,Other
128,1,0,24.75,1.875,0.08070774,126.0225,no,no,1,14,0,1,Male,White
129,1,0,41.91667,3.0,0.095609,238.8558,yes,no,3,120,0,0,Female,White
130,0,5,31.08333,4.2,0.0002857143,0.0,no,no,3,52,0,19,Male,Black
131,0,0,53.33333,4.9,0.000244898,0.0,yes,yes,0,108,0,1,Male,Black
132,1,0,24.25,2.13,0.02122066,37.08333,no,no,1,13,1,4,Male,Other
133,0,1,25.41667,1.7,0.0007058823,0.0,no,no,2,8,0,11,Female,Black
134,1,0,21.83333,1.68,0.1119048,156.5833,no,no,0,18,0,2,Male,Other
135,0,0,20.58333,2.64,0.0004545455,0.0,no,no,3,7,1,1,Female,Black
136,1,0,18.41667,1.968,0.006455285,9.753333,no,no,0,114,0,2,Female,Other
137,1,0,22.0,3.3,0.03947758,108.3967,no,no,0,6,1,8,Male,Black
138,1,0,21.41667,1.5896,0.2052491,271.5533,no,no,0,180,1,16,Male,Black
139,1,0,42.0,3.6,0.01785056,53.30167,no,yes,0,41,0,14,Male,Other
140,1,0,36.41667,3.0,0.1130587,282.5633,no,no,2,16,1,6,Male,White
141,1,0,41.5,3.8,0.08315605,263.3275,no,no,0,67,1,4,Male,Other
142,1,0,26.5,3.36,0.002625298,6.5175,no,no,0,12,1,4,Male,White
143,0,2,33.16667,2.3204,0.0005171522,0.0,no,no,0,62,0,3,Female,Black
144,1,0,43.08333,7.8,0.006685513,43.03917,yes,no,0,60,0,2,Male,Other
145,1,0,30.33333,2.5,0.0356228,73.7975,yes,yes,3,30,1,9,Male,Other
146,1,0,25.08333,1.5,0.0128,15.416670000000002,no,no,1,12,1,7,Female,White
147,1,0,35.66667,3.5822,0.1049978,313.3525,yes,no,1,84,1,10,Female,White
148,1,1,44.5,4.0,0.01795825,59.19416999999999,yes,no,0,36,1,13,Male,White
149,1,3,43.25,6.72,0.03142812,175.9975,yes,no,3,30,1,27,Male,White
150,1,2,50.0,4.3,0.03620279,129.3933,yes,yes,1,264,1,15,Male,White
151,1,0,31.75,3.5,0.01055514,30.36917,yes,no,1,36,1,5,Male,White
152,0,1,43.25,3.95,0.0003037975,0.0,yes,no,2,27,1,4,Female,Black
153,0,5,27.16667,4.0,0.0003,0.0,yes,no,0,37,1,7,Female,Black
154,1,0,24.91667,2.4,0.23063,461.26,no,no,1,164,0,1,Female,White
155,1,0,49.66667,2.7,0.08877037,199.7333,yes,no,0,120,0,3,Female,White
156,1,0,28.33333,6.6,0.007129848,38.71416,no,no,2,55,1,7,Male,Other
157,1,0,26.5,2.7,0.04111704,92.26334,no,no,0,18,1,0,Male,White
158,1,0,29.41667,4.1,0.04264756,145.3792,no,no,0,13,1,0,Male,White
159,1,0,71.83334,7.701,0.06251058,400.9117,yes,no,1,24,1,9,Male,Other
160,1,0,24.5,2.8,0.05955571,138.7133,no,no,0,5,1,0,Male,White
161,1,0,25.08333,3.12,0.04245641,110.3033,no,no,2,3,1,6,Male,White
162,1,0,24.91667,2.3,0.02855478,54.64666999999999,no,no,0,30,1,2,Male,Other
163,1,0,30.08333,3.67,0.001798365,4.5833330000000005,yes,no,0,57,1,3,Male,Other
164,0,0,32.58333,6.5,0.0001846154,0.0,yes,no,0,50,1,6,Male,Other
165,1,0,23.08333,2.56,0.1502422,320.5167,no,no,1,11,1,2,Male,White
166,1,0,48.91667,3.5,0.067888,197.9233,yes,no,0,48,1,9,Male,White
167,1,0,25.33333,3.24,0.02563117,68.87083,no,no,0,30,1,19,Male,White
168,1,0,25.33333,3.48,0.05121034,148.26,yes,no,0,14,1,5,Female,Other
169,1,0,24.91667,2.938,0.02812798,68.53333,no,no,0,14,1,0,Male,White
170,0,1,29.16667,2.475,0.0004848484999999,0.0,no,no,1,12,0,5,Male,Black
171,0,5,28.58333,3.12,0.0003846154,0.0,no,no,0,13,0,7,Female,White
172,0,0,32.33333,2.5,0.0004799999999999,0.0,no,no,1,60,1,0,Female,Other
173,1,0,26.5,3.0,0.04865566,121.5558,yes,no,0,12,1,4,Male,White
174,1,0,34.33333,6.0,0.017262,86.22667,yes,no,1,48,1,5,Male,White
175,1,0,28.41667,2.6,0.04854384,105.095,yes,no,0,27,1,6,Female,White
176,1,0,23.58333,3.9,0.01830487,58.99083,no,no,1,14,1,7,Male,Other
177,0,1,30.83333,2.5,0.0004799999999999,0.0,no,no,0,18,1,6,Male,Black
178,0,1,34.66667,3.3,0.0003636364,0.0,no,no,3,48,0,3,Female,Black
179,1,0,31.5,5.905,0.0251939,123.8917,no,no,1,12,1,2,Male,White
180,1,1,36.16667,7.8,0.01210897,78.54166,yes,no,1,24,1,18,Male,White
181,0,3,32.41667,2.06,0.0005825243,0.0,no,no,0,48,1,8,Female,Other
182,1,0,31.25,5.6965,0.008123409,38.0625,yes,yes,2,84,0,26,Male,White
183,1,0,28.08333,2.16,0.02572685,46.14167,no,no,2,7,1,0,Female,Black
184,0,3,41.58333,4.6,0.0002608696,0.0,no,no,0,57,1,3,Male,White
185,1,0,21.75,3.5,0.090862,265.0142,no,no,2,42,1,9,Female,White
186,1,0,30.25,2.55,0.03532235,74.72667,yes,no,1,11,1,0,Male,White
187,1,0,43.5,1.7472,0.07401385,107.7642,yes,no,0,18,0,2,Male,Black
188,1,0,29.58333,1.95,0.004564103,6.5,yes,no,2,96,1,2,Male,White
189,1,0,33.75,5.0,0.0501734,209.0558,yes,no,3,10,1,10,Male,White
190,1,0,24.16667,2.8896,0.08017754,193.0675,no,no,0,12,0,0,Male,White
191,1,0,25.41667,2.7,0.06417074,144.3842,yes,no,1,17,1,8,Male,White
192,1,0,24.25,4.0,0.1076916999999999,358.9725,no,no,0,7,1,10,Female,White
193,1,0,24.08333,2.3,0.0309899999999999,59.1475,no,no,0,12,1,0,Female,White
194,1,0,32.0,2.4,0.0005,0.0,no,no,1,11,1,8,Male,Black
195,0,0,46.16667,2.6,0.0004615385,0.0,no,no,0,61,1,8,Female,Other
196,1,0,21.91667,2.4,0.2326392,465.195,yes,no,1,168,1,4,Male,Other
197,1,0,36.25,2.52,0.06781389,142.2425,no,no,2,53,0,3,Male,White
198,1,0,23.83333,1.56,0.3860019,501.8025,no,no,0,33,0,1,Female,Other
199,1,0,49.41667,2.4,0.04437958,88.5925,no,yes,0,14,1,6,Male,White
200,1,0,26.08333,2.0,0.1700255,282.8758,no,no,0,2,1,2,Male,White
201,1,1,29.16667,2.58,0.1680208999999999,361.1617,no,no,0,6,1,12,Female,White
202,1,0,33.0,3.15,0.05726571,150.1767,no,yes,0,128,0,3,Male,White
203,1,0,29.33333,2.3,0.04004043,76.24416,no,no,2,24,0,5,Female,White
204,1,0,47.58333,4.65,0.01516022,58.245830000000005,no,no,2,25,1,11,Female,Other
205,1,0,21.58333,3.12,0.03396795,88.23333000000001,no,no,0,56,1,3,Male,White
206,1,0,30.41667,2.0,0.0048,7.0833330000000005,yes,no,3,45,1,14,Female,Other
207,0,6,62.91667,2.55,0.0004705882,0.0,no,no,2,20,0,13,Female,Other
208,1,1,21.58333,2.46,0.1409972,289.0442,no,no,1,4,1,11,Male,White
209,1,0,30.66667,3.8,0.03251895,102.9767,no,no,0,26,0,1,Female,White
210,1,0,47.75,2.6372,0.006635826,13.916670000000002,yes,no,0,4,1,12,Male,White
211,1,1,39.75,7.0,0.1099579999999999,641.4216,yes,no,2,30,0,22,Female,White
212,0,0,53.16667,2.8,0.0004285714,0.0,no,no,1,156,0,11,Female,Black
213,0,0,22.83333,3.1475,0.000381255,0.0,no,no,2,19,0,0,Female,Black
214,0,1,24.91667,6.0,0.0002,0.0,no,no,2,17,1,2,Female,Black
215,1,0,25.16667,3.25,0.0312399999999999,84.275,no,no,0,6,1,17,Female,White
216,1,0,61.08333,4.32,0.03697246,132.8508,yes,no,1,252,0,0,Male,White
217,1,0,29.16667,2.5,0.0767256,159.595,no,no,0,7,1,21,Male,Other
218,1,0,35.33333,3.0,0.054018,135.045,no,no,1,6,1,8,Male,White
219,1,0,26.08333,3.5,0.08595,250.5208,no,no,0,52,1,2,Male,White
220,1,0,42.75,4.56,0.04965899,188.6208,no,no,0,144,1,11,Male,Other
221,1,0,27.58333,2.76,0.01036232,23.25,no,no,0,30,1,1,Male,White
222,1,0,22.5,2.535,0.1013325,214.065,yes,no,2,23,1,9,Male,White
223,0,7,40.91667,3.2388,0.0003705076,0.0,no,no,0,50,1,16,Female,Other
224,0,2,35.16667,3.84,0.0003125,0.0,no,no,0,38,0,2,Female,Black
225,1,0,32.83333,1.32,0.03875531,42.63083,no,no,1,6,1,2,Female,Black
226,0,0,25.83333,3.9,0.0003076923,0.0,no,no,0,18,1,3,Female,Black
227,0,0,56.91667,2.04,0.0005882353,0.0,yes,no,0,35,1,11,Female,Black
228,1,1,30.16667,7.2904,0.07818501,474.5,yes,no,4,43,1,14,Female,White
229,1,0,25.08333,7.5,0.04870107,304.3817,yes,no,0,300,1,8,Male,Other
230,1,0,34.58333,3.2604,0.02910716,78.75083000000001,no,no,1,31,1,6,Male,Black
231,1,0,24.66667,1.632,0.1754246,238.3275,no,no,1,4,1,5,Male,Other
232,1,0,40.75,8.0,0.04667138,311.1425,yes,no,2,38,1,0,Male,Other
233,1,0,31.33333,2.2,0.04216182,77.04666999999999,yes,no,2,17,1,16,Male,White
234,1,0,27.83333,5.0,0.0289767999999999,120.4033,yes,no,1,24,1,0,Male,Black
235,1,0,30.83333,3.0,0.0626289999999999,156.5725,yes,no,2,72,1,8,Female,White
236,1,0,46.25,2.0,0.00685,10.58333,yes,no,0,76,1,1,Male,Other
237,1,0,20.5,1.54,0.08959676,114.8158,no,no,0,6,1,2,Male,White
238,0,0,28.0,1.5,0.0008,0.0,no,no,1,5,0,0,Female,Black
239,1,0,51.66667,3.0,0.07210633,179.7658,yes,no,0,121,1,0,Male,Black
240,1,1,41.83333,5.0,0.1501082,625.3675,yes,no,3,84,1,7,Female,Other
241,1,0,51.75,4.7232,0.02165545,84.9025,yes,no,1,60,0,0,Male,Black
242,1,0,53.5,1.5,0.0008,0.0,yes,no,0,57,0,6,Male,White
243,1,0,26.08333,2.3,0.03560869,67.66666,no,no,0,24,1,0,Male,Other
244,1,0,20.5,1.6,0.08383188,111.6925,no,no,0,3,1,0,Female,White
245,1,0,27.75,2.2,0.1403463999999999,257.3017,no,no,0,3,0,1,Female,White
246,1,0,23.25,4.32,0.1877141,675.7708,no,no,2,36,1,11,Male,Other
247,0,0,23.08333,2.6,0.0004615385,0.0,no,yes,0,37,1,7,Female,Black
248,1,0,20.33333,1.6752,0.1757384,245.3308,no,no,0,10,1,0,Male,White
249,1,0,83.5,2.8725,0.005848564,13.333329999999998,yes,yes,0,38,0,11,Male,White
250,1,0,24.5,2.6,0.06905923,149.545,no,yes,0,21,1,2,Female,White
251,1,0,33.75,2.9,0.104841,253.3658,yes,no,2,14,1,20,Male,Other
252,1,0,25.08333,2.65,0.009650944,20.47917,no,no,0,12,1,9,Female,Other
253,1,0,26.91667,1.9,0.02667368,41.81667,no,no,0,18,1,9,Male,White
254,1,0,65.91666,2.95,0.04856136,118.7133,yes,no,1,230,1,19,Male,White
255,1,0,21.58333,3.12,0.08677917,225.4592,no,no,1,10,0,6,Male,White
256,1,0,35.0,4.1125,0.02962699,101.2008,yes,no,1,37,1,23,Male,White
257,0,1,46.0,6.0,0.0002,0.0,yes,no,2,84,1,46,Female,Black
258,1,0,25.33333,2.0,0.006652,10.42,no,no,0,24,1,19,Female,White
259,0,2,35.91667,3.38,0.0003550295999999,0.0,yes,no,2,18,1,15,Female,Black
260,1,0,33.66667,3.5,0.002742857,7.166667,no,no,0,12,1,0,Female,White
261,1,0,30.08333,2.6,0.005961538,12.08333,yes,no,4,51,1,16,Male,Other
262,0,11,26.41667,3.5,0.0003428572,0.0,no,no,0,14,0,27,Female,Other
263,1,1,24.58333,2.8,0.06297679,146.8625,no,no,0,14,1,11,Male,Other
